#Signal[photons/cm/s/keV] Phase
6.416413522403443e+38 0.0
6.412524501624426e+38 0.010101010101010102
6.408986899523204e+38 0.020202020202020204
6.405726885091035e+38 0.030303030303030304
6.402721810467792e+38 0.04040404040404041
6.399951631477162e+38 0.05050505050505051
6.3974454059861196e+38 0.06060606060606061
6.395243002749548e+38 0.07070707070707072
6.393361857077829e+38 0.08080808080808081
6.391825216302699e+38 0.09090909090909091
6.390648743781478e+38 0.10101010101010102
6.3898334615534065e+38 0.11111111111111112
6.389380397536236e+38 0.12121212121212122
6.389279670750996e+38 0.13131313131313133
6.3895032743858526e+38 0.14141414141414144
6.390025957484564e+38 0.15151515151515152
6.390820092085818e+38 0.16161616161616163
6.3918283612104854e+38 0.17171717171717174
6.3930239419141726e+38 0.18181818181818182
6.3944980770700746e+38 0.19191919191919193
6.396381902253825e+38 0.20202020202020204
6.398752538728419e+38 0.21212121212121213
6.401643217269636e+38 0.22222222222222224
6.40494063654745e+38 0.23232323232323235
6.408382883110585e+38 0.24242424242424243
6.411755356903574e+38 0.25252525252525254
6.4149945747708684e+38 0.26262626262626265
6.41808107826118e+38 0.27272727272727276
6.4209954743876366e+38 0.2828282828282829
6.4237185944843895e+38 0.29292929292929293
6.426232952900381e+38 0.30303030303030304
6.4285230857340864e+38 0.31313131313131315
6.430577504387047e+38 0.32323232323232326
6.432388039754173e+38 0.33333333333333337
6.433949419903658e+38 0.3434343434343435
6.435260565121673e+38 0.3535353535353536
6.436324779228287e+38 0.36363636363636365
6.4371493579385275e+38 0.37373737373737376
6.437745951302051e+38 0.38383838383838387
6.438130545262678e+38 0.393939393939394
6.438322907487941e+38 0.4040404040404041
6.438346976402533e+38 0.4141414141414142
6.4382291750067576e+38 0.42424242424242425
6.437998790831327e+38 0.43434343434343436
6.437688616784195e+38 0.4444444444444445
6.4373334154825294e+38 0.4545454545454546
6.436969385891974e+38 0.4646464646464647
6.436633069086185e+38 0.4747474747474748
6.436359832195585e+38 0.48484848484848486
6.4361838633402506e+38 0.494949494949495
6.4361388987875535e+38 0.5050505050505051
6.436256502611404e+38 0.5151515151515152
6.436565182069995e+38 0.5252525252525253
6.4370904958779186e+38 0.5353535353535354
6.437852927888003e+38 0.5454545454545455
6.4388668432669345e+38 0.5555555555555556
6.4401400969815555e+38 0.5656565656565657
6.44167562249505e+38 0.5757575757575758
6.443470034545509e+38 0.5858585858585859
6.445514006289499e+38 0.595959595959596
6.447793659576001e+38 0.6060606060606061
6.4502916935184225e+38 0.6161616161616162
6.4529857617741865e+38 0.6262626262626263
6.455847199236819e+38 0.6363636363636365
6.458843294214637e+38 0.6464646464646465
6.461936795092013e+38 0.6565656565656566
6.465085509741892e+38 0.6666666666666667
6.468242539028304e+38 0.6767676767676768
6.471355896457236e+38 0.686868686868687
6.474368319042792e+38 0.696969696969697
6.4772299475565e+38 0.7070707070707072
6.479955115915648e+38 0.7171717171717172
6.4825903759056576e+38 0.7272727272727273
6.4851322841461495e+38 0.7373737373737375
6.487615841133546e+38 0.7474747474747475
6.4900454483264445e+38 0.7575757575757577
6.492311288723934e+38 0.7676767676767677
6.494264446644425e+38 0.7777777777777778
6.4958011090343196e+38 0.787878787878788
6.496864103153807e+38 0.797979797979798
6.497416437368705e+38 0.8080808080808082
6.4974267147895145e+38 0.8181818181818182
6.49686326208297e+38 0.8282828282828284
6.495710235563346e+38 0.8383838383838385
6.493964515265022e+38 0.8484848484848485
6.4916106428047085e+38 0.8585858585858587
6.488652143254449e+38 0.8686868686868687
6.48511516828537e+38 0.8787878787878789
6.481005024508518e+38 0.888888888888889
6.4763217594166135e+38 0.8989898989898991
6.471079945669603e+38 0.9090909090909092
6.465318160292735e+38 0.9191919191919192
6.459092527470298e+38 0.9292929292929294
6.452477258672179e+38 0.9393939393939394
6.4455656144060766e+38 0.9494949494949496
6.4385476334181975e+38 0.9595959595959597
6.431821553509898e+38 0.9696969696969697
6.425833841516379e+38 0.9797979797979799
6.4207677736722995e+38 0.98989898989899
6.416413522403443e+38 1.0
