#Signal[photons/cm/s/keV] Phase
6.4176294484011366e+38 0.0
6.413737964023698e+38 0.010101010101010102
6.410197976528026e+38 0.020202020202020204
6.406935674060579e+38 0.030303030303030304
6.403928666779367e+38 0.04040404040404041
6.4011566091925635e+38 0.05050505050505051
6.398648149969682e+38 0.06060606060606061
6.396443146759834e+38 0.07070707070707072
6.394559222870535e+38 0.08080808080808081
6.393019768526534e+38 0.09090909090909091
6.391840635224742e+38 0.10101010101010102
6.391022904422095e+38 0.11111111111111112
6.3905676043503754e+38 0.12121212121212122
6.390464924190643e+38 0.13131313131313133
6.3906868554614824e+38 0.14141414141414144
6.391208105499588e+38 0.15151515151515152
6.392001128747199e+38 0.16161616161616163
6.3930086131128155e+38 0.17171717171717174
6.394203249106714e+38 0.18181818181818182
6.395675747332716e+38 0.19191919191919193
6.397557485270589e+38 0.20202020202020204
6.3999258279159014e+38 0.21212121212121213
6.4028144811737955e+38 0.22222222222222224
6.4061110678529036e+38 0.23232323232323235
6.409554070288877e+38 0.24242424242424243
6.412928025862982e+38 0.25252525252525254
6.416168774785734e+38 0.26262626262626265
6.419256778599958e+38 0.27272727272727276
6.422172648327266e+38 0.2828282828282829
6.4248972278449906e+38 0.29292929292929293
6.427413009556748e+38 0.30303030303030304
6.429704505332953e+38 0.31313131313131315
6.431760215686402e+38 0.32323232323232326
6.433571986003755e+38 0.33333333333333337
6.435134519831801e+38 0.3434343434343435
6.4364467180428365e+38 0.3535353535353536
6.437511867483268e+38 0.36363636363636365
6.4383372627918465e+38 0.37373737373737376
6.4389345317993424e+38 0.38383838383838387
6.439319675297469e+38 0.393939393939394
6.439512466631371e+38 0.4040404040404041
6.43953684885118e+38 0.4141414141414142
6.4394192275775255e+38 0.42424242424242425
6.43918891597622e+38 0.43434343434343436
6.438878705738872e+38 0.4444444444444445
6.438523380109896e+38 0.4545454545454546
6.438159159754954e+38 0.4646464646464647
6.4378225993197e+38 0.4747474747474748
6.43754908579971e+38 0.48484848484848486
6.437372832216526e+38 0.494949494949495
6.437327600500955e+38 0.5050505050505051
6.437444967048472e+38 0.5151515151515152
6.437753441587474e+38 0.5252525252525253
6.438278608966497e+38 0.5353535353535354
6.439040996487268e+38 0.5454545454545455
6.440054982371349e+38 0.5555555555555556
6.441328423276493e+38 0.5656565656565657
6.442864273610723e+38 0.5757575757575758
6.44465917601449e+38 0.5858585858585859
6.446703787470958e+38 0.595959595959596
6.448984232406066e+38 0.6060606060606061
6.451483223581076e+38 0.6161616161616162
6.454178417774679e+38 0.6262626262626263
6.457041127943496e+38 0.6363636363636365
6.4600386458576834e+38 0.6464646464646465
6.463133718989109e+38 0.6565656565656566
6.466284124542665e+38 0.6666666666666667
6.469442940365911e+38 0.6767676767676768
6.4725581696905814e+38 0.686868686868687
6.47557250152219e+38 0.696969696969697
6.478436237988197e+38 0.7070707070707072
6.481164177191499e+38 0.7171717171717172
6.483802724459967e+38 0.7272727272727273
6.486348346622808e+38 0.7373737373737375
6.488836247908403e+38 0.7474747474747475
6.491270170379657e+38 0.7575757575757577
6.493539857139403e+38 0.7676767676767677
6.495496321403172e+38 0.7777777777777778
6.4970360181502544e+38 0.787878787878788
6.4981019020019186e+38 0.797979797979798
6.498656938991805e+38 0.8080808080808082
6.498669639863471e+38 0.8181818181818182
6.498108339989032e+38 0.8282828282828284
6.496957271579273e+38 0.8383838383838385
6.4952131951796004e+38 0.8484848484848485
6.492860564127295e+38 0.8585858585858587
6.4899030169501274e+38 0.8686868686868687
6.4863666747677475e+38 0.8787878787878789
6.482256693366084e+38 0.888888888888889
6.477573136945708e+38 0.8989898989898991
6.472330669310664e+38 0.9090909090909092
6.466567939613749e+38 0.9191919191919192
6.460341073240066e+38 0.9292929292929294
6.4537241994340024e+38 0.9393939393939394
6.446810158128275e+38 0.9494949494949496
6.4397883569263696e+38 0.9595959595959597
6.4330562175939735e+38 0.9696969696969697
6.427060819405686e+38 0.9797979797979799
6.4219877831564174e+38 0.98989898989899
6.417629448401137e+38 1.0
