#Signal[photons/cm/s/keV] Phase
6.292264996999013e+38 0.0
6.2882934409855564e+38 0.010101010101010102
6.2846976617713495e+38 0.020202020202020204
6.281425459605624e+38 0.030303030303030304
6.278454815316187e+38 0.04040404040404041
6.2757378349668756e+38 0.05050505050505051
6.273221713098097e+38 0.06060606060606061
6.2709336265774485e+38 0.07070707070707072
6.268929759047989e+38 0.08080808080808081
6.2672481686975375e+38 0.09090909090909091
6.265926541937522e+38 0.10101010101010102
6.26498316241519e+38 0.11111111111111112
6.264415488791977e+38 0.12121212121212122
6.264219610850332e+38 0.13131313131313133
6.264379304763867e+38 0.14141414141414144
6.2648597094405535e+38 0.15151515151515152
6.2656340428606385e+38 0.16161616161616163
6.266673000848197e+38 0.17171717171717174
6.267914960668493e+38 0.18181818181818182
6.269341587150682e+38 0.19191919191919193
6.27106323079448e+38 0.20202020202020204
6.2732101973937705e+38 0.21212121212121213
6.275853113962451e+38 0.22222222222222224
6.279013329401035e+38 0.23232323232323235
6.282555774364052e+38 0.24242424242424243
6.286215340769981e+38 0.25252525252525254
6.289788335070625e+38 0.26262626262626265
6.293219612876451e+38 0.27272727272727276
6.296492289136368e+38 0.2828282828282829
6.2995893712609136e+38 0.29292929292929293
6.3024938766175926e+38 0.30303030303030304
6.305189828020997e+38 0.31313131313131315
6.307664092059208e+38 0.32323232323232326
6.309906241878184e+38 0.33333333333333337
6.311908928677523e+38 0.3434343434343435
6.3136682370777106e+38 0.3535353535353536
6.315183885030089e+38 0.36363636363636365
6.3164592602589646e+38 0.37373737373737376
6.31750173812123e+38 0.38383838383838387
6.318322437643182e+38 0.393939393939394
6.318936568855324e+38 0.4040404040404041
6.3193632356737335e+38 0.4141414141414142
6.319624322343813e+38 0.42424242424242425
6.319745570170437e+38 0.43434343434343436
6.319756917211623e+38 0.4444444444444445
6.319691276116072e+38 0.4545454545454546
6.319584172623096e+38 0.4646464646464647
6.319472351397393e+38 0.4747474747474748
6.319391336095525e+38 0.48484848484848486
6.319374461632124e+38 0.494949494949495
6.319453740947924e+38 0.5050505050505051
6.319660405387935e+38 0.5151515151515152
6.3200217711722634e+38 0.5252525252525253
6.3205613681812625e+38 0.5353535353535354
6.3212989195737e+38 0.5454545454545455
6.322249364961415e+38 0.5555555555555556
6.323420876756608e+38 0.5656565656565657
6.324816428188957e+38 0.5757575757575758
6.326432593453821e+38 0.5858585858585859
6.3282608276812515e+38 0.595959595959596
6.330289483136507e+38 0.6060606060606061
6.3325041384164e+38 0.6161616161616162
6.334885092586032e+38 0.6262626262626263
6.337406022343902e+38 0.6363636363636365
6.340036211629839e+38 0.6464646464646465
6.3427408053773834e+38 0.6565656565656566
6.345480673728974e+38 0.6666666666666667
6.348212654709556e+38 0.6767676767676768
6.350889083333472e+38 0.686868686868687
6.353456776358939e+38 0.696969696969697
6.355873593669631e+38 0.7070707070707072
6.358171500842142e+38 0.7171717171717172
6.360406192275996e+38 0.7272727272727273
6.362644972711575e+38 0.7373737373737375
6.3649315764152415e+38 0.7474747474747475
6.367165993151026e+38 0.7575757575757577
6.369199318333324e+38 0.7676767676767677
6.370901494238215e+38 0.7777777777777778
6.372204110973118e+38 0.787878787878788
6.373067633797593e+38 0.797979797979798
6.373456940247162e+38 0.8080808080808082
6.373331080180877e+38 0.8181818181818182
6.37266745917421e+38 0.8282828282828284
6.371457912521227e+38 0.8383838383838385
6.369678562472393e+38 0.8484848484848485
6.367325093944213e+38 0.8585858585858587
6.3644195159727325e+38 0.8686868686868687
6.3609603548838185e+38 0.8787878787878789
6.356940565672258e+38 0.888888888888889
6.352365778534031e+38 0.8989898989898991
6.347265230459181e+38 0.9090909090909092
6.341682957089085e+38 0.9191919191919192
6.335669912888046e+38 0.9292929292929294
6.329269571639232e+38 0.9393939393939394
6.322539474753422e+38 0.9494949494949496
6.3156071529734686e+38 0.9595959595959597
6.308749738478523e+38 0.9696969696969697
6.302381185907722e+38 0.9797979797979799
6.2968608809247685e+38 0.98989898989899
6.2922649969990134e+38 1.0
