 #Flux Phi frequency
 8.479063e-04 -2.748894e+00 4.196216e+17
 8.479867e-04 -2.827433e+00 4.196216e+17
 8.478714e-04 -2.591814e+00 4.196216e+17
 8.479691e-04 -2.984513e+00 4.196216e+17
 8.479817e-04 -2.434734e+00 4.196216e+17
 8.482266e-04 -3.063053e+00 4.196216e+17
 8.479086e-04 -2.513274e+00 4.196216e+17
 8.480252e-04 -2.670354e+00 4.196216e+17
 8.481215e-04 -3.141593e+00 4.196216e+17
 8.480935e-04 -2.905973e+00 4.196216e+17
 8.480816e-04 -1.727876e+00 4.196216e+17
 8.480498e-04 -1.963495e+00 4.196216e+17
 8.478093e-04 -2.042035e+00 4.196216e+17
 8.479667e-04 -2.356194e+00 4.196216e+17
 8.478950e-04 -2.199115e+00 4.196216e+17
 8.482062e-04 -1.649336e+00 4.196216e+17
 8.478736e-04 -2.277655e+00 4.196216e+17
 8.481347e-04 -1.884956e+00 4.196216e+17
 8.477879e-04 -2.120575e+00 4.196216e+17
 8.481192e-04 -1.806416e+00 4.196216e+17
 8.481152e-04 -1.335177e+00 4.196216e+17
 8.482495e-04 -1.570796e+00 4.196216e+17
 8.480277e-04 -1.099557e+00 4.196216e+17
 8.478721e-04 -1.021018e+00 4.196216e+17
 8.482283e-04 -1.492257e+00 4.196216e+17
 8.480056e-04 -8.639380e-01 4.196216e+17
 8.479179e-04 -9.424778e-01 4.196216e+17
 8.479085e-04 -1.178097e+00 4.196216e+17
 8.480261e-04 -1.413717e+00 4.196216e+17
 8.479895e-04 -1.256637e+00 4.196216e+17
 8.480805e-04 -1.570796e-01 4.196216e+17
 8.478153e-04 -4.712389e-01 4.196216e+17
 8.482203e-04 -7.853982e-02 4.196216e+17
 8.480189e-04 -2.356194e-01 4.196216e+17
 8.479663e-04 -7.853982e-01 4.196216e+17
 8.480635e-04 -3.926991e-01 4.196216e+17
 8.478537e-04 -7.068583e-01 4.196216e+17
 8.479018e-04 -6.283185e-01 4.196216e+17
 8.479521e-04 -3.141593e-01 4.196216e+17
 8.479385e-04 -5.497787e-01 4.196216e+17
 8.482275e-04 7.853982e-02 4.196216e+17
 8.480053e-04 7.068583e-01 4.196216e+17
 8.479175e-04 6.283185e-01 4.196216e+17
 8.479704e-04 3.141593e-01 4.196216e+17
 8.482437e-04 0.000000e+00 4.196216e+17
 8.478081e-04 4.712389e-01 4.196216e+17
 8.480307e-04 1.570796e-01 4.196216e+17
 8.480036e-04 5.497787e-01 4.196216e+17
 8.480862e-04 3.926991e-01 4.196216e+17
 8.481238e-04 2.356194e-01 4.196216e+17
 8.480825e-04 1.335177e+00 4.196216e+17
 8.477943e-04 1.099557e+00 4.196216e+17
 8.480499e-04 1.021018e+00 4.196216e+17
 8.479016e-04 9.424778e-01 4.196216e+17
 8.480493e-04 1.256637e+00 4.196216e+17
 8.480677e-04 1.178097e+00 4.196216e+17
 8.481710e-04 1.649336e+00 4.196216e+17
 8.479180e-04 2.199115e+00 4.196216e+17
 8.481235e-04 1.570796e+00 4.196216e+17
 8.481257e-04 1.884956e+00 4.196216e+17
 8.478764e-04 2.120575e+00 4.196216e+17
 8.478066e-04 2.042035e+00 4.196216e+17
 8.481753e-04 1.963495e+00 4.196216e+17
 8.481245e-04 1.806416e+00 4.196216e+17
 8.479551e-04 2.277655e+00 4.196216e+17
 8.479386e-04 2.591814e+00 4.196216e+17
 8.477918e-04 2.670354e+00 4.196216e+17
 8.479680e-04 2.356194e+00 4.196216e+17
 8.478933e-04 2.513274e+00 4.196216e+17
 8.478789e-04 2.434734e+00 4.196216e+17
 8.480814e-04 2.905973e+00 4.196216e+17
 8.480011e-04 2.984513e+00 4.196216e+17
 8.480460e-04 2.827433e+00 4.196216e+17
 8.479309e-04 2.748894e+00 4.196216e+17
 8.481238e-04 3.141593e+00 4.196216e+17
 8.480964e-04 3.063053e+00 4.196216e+17
