#Signal[photons/cm/s/keV] Phase Energy
2.6023148139478736e+38 0.0 0.0309132837461
2.6007283196005482e+38 0.010101010101010102 0.0309132837461
2.5992851805491852e+38 0.020202020202020204 0.0309132837461
2.597955279988325e+38 0.030303030303030304 0.0309132837461
2.5967293796446257e+38 0.04040404040404041 0.0309132837461
2.595599303316715e+38 0.05050505050505051 0.0309132837461
2.5945769051525488e+38 0.06060606060606061 0.0309132837461
2.5936784494295538e+38 0.07070707070707072 0.0309132837461
2.5929110493185042e+38 0.08080808080808081 0.0309132837461
2.592284188842006e+38 0.09090909090909091 0.0309132837461
2.5918042579579044e+38 0.10101010101010102 0.0309132837461
2.591471673727012e+38 0.11111111111111112 0.0309132837461
2.5912868554458343e+38 0.12121212121212122 0.0309132837461
2.5912457722475843e+38 0.13131313131313133 0.0309132837461
2.591336999092229e+38 0.14141414141414144 0.0309132837461
2.5915502351964217e+38 0.15151515151515152 0.0309132837461
2.5918742101972166e+38 0.16161616161616163 0.0309132837461
2.5922855425475295e+38 0.17171717171717174 0.0309132837461
2.5927732898745005e+38 0.18181818181818182 0.0309132837461
2.593374672168397e+38 0.19191919191919193 0.0309132837461
2.594143183121962e+38 0.20202020202020204 0.0309132837461
2.5951102818139073e+38 0.21212121212121213 0.0309132837461
2.5962895226718814e+38 0.22222222222222224 0.0309132837461
2.597634685013353e+38 0.23232323232323235 0.0309132837461
2.5990389258963244e+38 0.24242424242424243 0.0309132837461
2.6004147039743978e+38 0.25252525252525254 0.0309132837461
2.601736122230021e+38 0.26262626262626265 0.0309132837461
2.6029952419981092e+38 0.27272727272727276 0.0309132837461
2.6041841514417913e+38 0.2828282828282829 0.0309132837461
2.6052950303860767e+38 0.29292929292929293 0.0309132837461
2.6063207452826994e+38 0.30303030303030304 0.0309132837461
2.607254987449522e+38 0.31313131313131315 0.0309132837461
2.608093069940372e+38 0.32323232323232326 0.0309132837461
2.6088316600900965e+38 0.33333333333333337 0.0309132837461
2.6094686071866197e+38 0.3434343434343435 0.0309132837461
2.6100034707326397e+38 0.3535353535353536 0.0309132837461
2.610437598562115e+38 0.36363636363636365 0.0309132837461
2.61077396704163e+38 0.37373737373737376 0.0309132837461
2.6110173289194755e+38 0.38383838383838387 0.0309132837461
2.611174205634758e+38 0.393939393939394 0.0309132837461
2.6112526614626996e+38 0.4040404040404041 0.0309132837461
2.611262462080982e+38 0.4141414141414142 0.0309132837461
2.6112143867562485e+38 0.42424242424242425 0.0309132837461
2.6111203833196872e+38 0.43434343434343436 0.0309132837461
2.61099382943965e+38 0.4444444444444445 0.0309132837461
2.610848906353387e+38 0.4545454545454546 0.0309132837461
2.6107003812232498e+38 0.4646464646464647 0.0309132837461
2.610563160736614e+38 0.4747474747474748 0.0309132837461
2.6104516727226067e+38 0.48484848484848486 0.0309132837461
2.610379864031443e+38 0.494949494949495 0.0309132837461
2.6103614971699033e+38 0.5050505050505051 0.0309132837461
2.610409448520569e+38 0.5151515151515152 0.0309132837461
2.6105353474669105e+38 0.5252525252525253 0.0309132837461
2.6107496205650695e+38 0.5353535353535354 0.0309132837461
2.6110606241935033e+38 0.5454545454545455 0.0309132837461
2.611474218712473e+38 0.5555555555555556 0.0309132837461
2.61199360875497e+38 0.5656565656565657 0.0309132837461
2.6126199913029398e+38 0.5757575757575758 0.0309132837461
2.6133519857384763e+38 0.5858585858585859 0.0309132837461
2.6141857875433347e+38 0.595959595959596 0.0309132837461
2.6151157354642102e+38 0.6060606060606061 0.0309132837461
2.6161347718789706e+38 0.6161616161616162 0.0309132837461
2.6172337808088978e+38 0.6262626262626263 0.0309132837461
2.6184010686920417e+38 0.6363636363636365 0.0309132837461
2.6196232910523444e+38 0.6464646464646465 0.0309132837461
2.620885251508819e+38 0.6565656565656566 0.0309132837461
2.6221697382552625e+38 0.6666666666666667 0.0309132837461
2.6234576193510245e+38 0.6767676767676768 0.0309132837461
2.6247276875691744e+38 0.686868686868687 0.0309132837461
2.6259565832272416e+38 0.696969696969697 0.0309132837461
2.62712396646824e+38 0.7070707070707072 0.0309132837461
2.628235682377148e+38 0.7171717171717172 0.0309132837461
2.6293107193307896e+38 0.7272727272727273 0.0309132837461
2.6303476714727005e+38 0.7373737373737375 0.0309132837461
2.6313608143862744e+38 0.7474747474747475 0.0309132837461
2.6323519434032095e+38 0.7575757575757577 0.0309132837461
2.633276261972758e+38 0.7676767676767677 0.0309132837461
2.6340730240472357e+38 0.7777777777777778 0.0309132837461
2.6346998817779905e+38 0.787878787878788 0.0309132837461
2.6351335129802154e+38 0.797979797979798 0.0309132837461
2.6353588277314295e+38 0.8080808080808082 0.0309132837461
2.635363018327952e+38 0.8181818181818182 0.0309132837461
2.6351331642153012e+38 0.8282828282828284 0.0309132837461
2.6346628022005396e+38 0.8383838383838385 0.0309132837461
2.6339506594787142e+38 0.8484848484848485 0.0309132837461
2.632990430225837e+38 0.8585858585858587 0.0309132837461
2.631783552244042e+38 0.8686868686868687 0.0309132837461
2.630340693474891e+38 0.8787878787878789 0.0309132837461
2.628664018986404e+38 0.888888888888889 0.0309132837461
2.6267535486950012e+38 0.8989898989898991 0.0309132837461
2.6246152277451437e+38 0.9090909090909092 0.0309132837461
2.6222647930603244e+38 0.9191919191919192 0.0309132837461
2.6197251394370744e+38 0.9292929292929294 0.0309132837461
2.6170265398417354e+38 0.9393939393939394 0.0309132837461
2.614207037857906e+38 0.9494949494949496 0.0309132837461
2.6113441552027217e+38 0.9595959595959597 0.0309132837461
2.6086003445673463e+38 0.9696969696969697 0.0309132837461
2.6061577344618233e+38 0.9797979797979799 0.0309132837461
2.604091089396591e+38 0.98989898989899 0.0309132837461
2.6023148139478736e+38 1.0 0.0309132837461
