#Signal[photons/cm/s/keV] Phase Energy
2.602808821843551e+38 0.0 0.0309132837461
2.601221322465678e+38 0.010101010101010102 0.0309132837461
2.5997772103124404e+38 0.020202020202020204 0.0309132837461
2.598446376403948e+38 0.030303030303030304 0.0309132837461
2.597219687654342e+38 0.04040404040404041 0.0309132837461
2.5960888449595543e+38 0.05050505050505051 0.0309132837461
2.5950655355757043e+38 0.06060606060606061 0.0309132837461
2.5941660192666658e+38 0.07070707070707072 0.0309132837461
2.5933974858347827e+38 0.08080808080808081 0.0309132837461
2.592769477595815e+38 0.09090909090909091 0.0309132837461
2.592288461301919e+38 0.10101010101010102 0.0309132837461
2.591954878260831e+38 0.11111111111111112 0.0309132837461
2.5917691478721313e+38 0.12121212121212122 0.0309132837461
2.591727267913807e+38 0.13131313131313133 0.0309132837461
2.5918178126440237e+38 0.14141414141414144 0.0309132837461
2.5920304642501905e+38 0.15151515151515152 0.0309132837461
2.592353985933321e+38 0.16161616161616163 0.0309132837461
2.5927649982257863e+38 0.17171717171717174 0.0309132837461
2.5932523602415374e+38 0.18181818181818182 0.0309132837461
2.5938530748483697e+38 0.19191919191919193 0.0309132837461
2.5946207344382023e+38 0.20202020202020204 0.0309132837461
2.595586897487038e+38 0.21212121212121213 0.0309132837461
2.596765312260633e+38 0.22222222222222224 0.0309132837461
2.5981101350608803e+38 0.23232323232323235 0.0309132837461
2.599514684381875e+38 0.24242424242424243 0.0309132837461
2.6008910669855066e+38 0.25252525252525254 0.0309132837461
2.6022131098484618e+38 0.26262626262626265 0.0309132837461
2.6034728417103883e+38 0.27272727272727276 0.0309132837461
2.60466235236175e+38 0.2828282828282829 0.0309132837461
2.60577382668419e+38 0.29292929292929293 0.0309132837461
2.6068001222065554e+38 0.30303030303030304 0.0309132837461
2.607734920390434e+38 0.31313131313131315 0.0309132837461
2.6085735298452897e+38 0.32323232323232326 0.0309132837461
2.6093126237503695e+38 0.33333333333333337 0.0309132837461
2.609950041436675e+38 0.3434343434343435 0.0309132837461
2.6104853345126094e+38 0.3535353535353536 0.0309132837461
2.610919843893158e+38 0.36363636363636365 0.0309132837461
2.611256545482622e+38 0.37373737373737376 0.0309132837461
2.6115001830025658e+38 0.38383838383838387 0.0309132837461
2.6116572839109294e+38 0.393939393939394 0.0309132837461
2.611735914778439e+38 0.4040404040404041 0.0309132837461
2.6117458431592417e+38 0.4141414141414142 0.0309132837461
2.6116978412880864e+38 0.42424242424242425 0.0309132837461
2.611603867416121e+38 0.43434343434343436 0.0309132837461
2.61147729874496e+38 0.4444444444444445 0.0309132837461
2.6113323249231338e+38 0.4545454545454546 0.0309132837461
2.611183721952275e+38 0.4646464646464647 0.0309132837461
2.6110464020668156e+38 0.4747474747474748 0.0309132837461
2.6109348012038926e+38 0.48484848484848486 0.0309132837461
2.6108628763667486e+38 0.494949494949495 0.0309132837461
2.6108444004966175e+38 0.5050505050505051 0.0309132837461
2.6108922550349133e+38 0.5151515151515152 0.0309132837461
2.6110180704021446e+38 0.5252525252525253 0.0309132837461
2.6112322837898166e+38 0.5353535353535354 0.0309132837461
2.611543269259733e+38 0.5454545454545455 0.0309132837461
2.6119568925260658e+38 0.5555555555555556 0.0309132837461
2.612476358952802e+38 0.5656565656565657 0.0309132837461
2.6131028740319985e+38 0.5757575757575758 0.0309132837461
2.613835068465969e+38 0.5858585858585859 0.0309132837461
2.614669131214678e+38 0.595959595959596 0.0309132837461
2.6155994020828873e+38 0.6060606060606061 0.0309132837461
2.6166188290089445e+38 0.6161616161616162 0.0309132837461
2.6177182972788675e+38 0.6262626262626263 0.0309132837461
2.618886104402622e+38 0.6363636363636365 0.0309132837461
2.620108907284929e+38 0.6464646464646465 0.0309132837461
2.6213715091291876e+38 0.6565656565656566 0.0309132837461
2.6226566856551757e+38 0.6666666666666667 0.0309132837461
2.623945295553359e+38 0.6767676767676768 0.0309132837461
2.6252161273726532e+38 0.686868686868687 0.0309132837461
2.6264458018905455e+38 0.696969696969697 0.0309132837461
2.6276140450428386e+38 0.7070707070707072 0.0309132837461
2.6287268912577384e+38 0.7171717171717172 0.0309132837461
2.629803269185504e+38 0.7272727272727273 0.0309132837461
