Signal Phase
1.87418712301206e+41 0.0
1.8703290470437496e+41 0.010101010101010102
1.866893421550132e+41 0.020202020202020204
1.863802928157206e+41 0.030303030303030304
1.8610180764466634e+41 0.04040404040404041
1.8585154449784533e+41 0.05050505050505051
1.856310699593075e+41 0.06060606060606061
1.8544402052573482e+41 0.07070707070707072
1.8529229064143686e+41 0.08080808080808081
1.8517853576188267e+41 0.09090909090909091
1.8510435746230277e+41 0.10101010101010102
1.850701298596003e+41 0.11111111111111112
1.8507472217024643e+41 0.12121212121212122
1.8511588939495904e+41 0.13131313131313133
1.8518932585363843e+41 0.14141414141414144
1.8529220233139058e+41 0.15151515151515152
1.8541974825580352e+41 0.16161616161616163
1.8556430076606642e+41 0.17171717171717174
1.8572394573682154e+41 0.18181818181818182
1.8590809881053976e+41 0.19191919191919193
1.861340394198572e+41 0.20202020202020204
1.864096370608609e+41 0.21212121212121213
1.867364248463032e+41 0.22222222222222224
1.871009028502607e+41 0.23232323232323235
1.8747311575146948e+41 0.24242424242424243
1.8783113908058155e+41 0.25252525252525254
1.881695610041287e+41 0.26262626262626265
1.88486263866437e+41 0.27272727272727276
1.8877926215385944e+41 0.2828282828282829
1.8904678106601467e+41 0.29292929292929293
1.892874014865855e+41 0.30303030303030304
1.8950007266294714e+41 0.31313131313131315
1.8968419627445504e+41 0.32323232323232326
1.8983960272807103e+41 0.33333333333333337
1.89966579018912e+41 0.3434343434343435
1.9006582263181767e+41 0.3535353535353536
1.901385563933727e+41 0.36363636363636365
1.901864206071696e+41 0.37373737373737376
1.9021151792044614e+41 0.38383838383838387
1.9021635966802174e+41 0.393939393939394
1.902038148668273e+41 0.4040404040404041
1.9017714493614402e+41 0.4141414141414142
1.9013980485126698e+41 0.42424242424242425
1.9009547022755638e+41 0.43434343434343436
1.9004798270322245e+41 0.4444444444444445
1.900013004185121e+41 0.4545454545454546
1.899593625663868e+41 0.4646464646464647
1.8992603929846663e+41 0.4747474747474748
1.899050209504386e+41 0.48484848484848486
1.898997586106643e+41 0.494949494949495
1.8991353444808214e+41 0.5050505050505051
1.8994927026131066e+41 0.5151515151515152
1.9000951984760125e+41 0.5252525252525253
1.900963724711184e+41 0.5353535353535354
1.9021140137489194e+41 0.5454545454545455
1.9035558922149216e+41 0.5555555555555556
1.9052917964861917e+41 0.5656565656565657
1.9073188431948448e+41 0.5757575757575758
1.909627359007529e+41 0.5858585858585859
1.9122012609395064e+41 0.595959595959596
1.9150194817085193e+41 0.6060606060606061
1.918056181325474e+41 0.6161616161616162
1.921279718657755e+41 0.6262626262626263
1.9246535900495074e+41 0.6363636363636365
1.9281363273703506e+41 0.6464646464646465
1.9316830826823088e+41 0.6565656565656566
1.9352444423415655e+41 0.6666666666666667
1.9387677388126637e+41 0.6767676767676768
1.9421964543962304e+41 0.686868686868687
1.945470675732002e+41 0.696969696969697
1.9485325866896556e+41 0.7070707070707072
1.9513829260349856e+41 0.7171717171717172
1.9540557686262406e+41 0.7272727272727273
1.956514032697744e+41 0.7373737373737375
1.9587630397232354e+41 0.7474747474747475
1.9608217046103573e+41 0.7575757575757577
1.9626313272273135e+41 0.7676767676767677
1.964070628586e+41 0.7777777777777778
1.9650236509380448e+41 0.787878787878788
1.9654658649259395e+41 0.797979797979798
1.9653639722717205e+41 0.8080808080808082
1.9646823127332357e+41 0.8181818181818182
1.963414410863737e+41 0.8282828282828284
1.961544625678498e+41 0.8383838383838385
1.9590782707708517e+41 0.8484848484848485
1.9560099873332695e+41 0.8585858585858587
1.9523393760887046e+41 0.8686868686868687
1.948099555773916e+41 0.8787878787878789
1.9433056114472814e+41 0.888888888888889
1.937970368512029e+41 0.8989898989898991
1.9321128429021624e+41 0.9090909090909092
1.925780988476658e+41 0.9191919191919192
1.919030443345856e+41 0.9292929292929294
1.911927210572045e+41 0.9393939393939394
1.904548495479458e+41 0.9494949494949496
1.897063842773808e+41 0.9595959595959597
1.889905783446954e+41 0.9696969696969697
1.88367467681255e+41 0.9797979797979799
1.8785563271278624e+41 0.98989898989899
1.87418712301206e+41 1.0
