 #Flux Phi frequency
 7.886227e-04 -2.905973e+00 4.196216e+17
 7.883974e-04 -2.591814e+00 4.196216e+17
 7.886504e-04 -3.063053e+00 4.196216e+17
 7.883503e-04 -2.670354e+00 4.196216e+17
 7.887030e-04 -3.141593e+00 4.196216e+17
 7.883617e-04 -2.434734e+00 4.196216e+17
 7.885907e-04 -2.827433e+00 4.196216e+17
 7.885952e-04 -2.748894e+00 4.196216e+17
 7.881051e-04 -2.513274e+00 4.196216e+17
 7.885033e-04 -2.984513e+00 4.196216e+17
 7.882187e-04 -1.963495e+00 4.196216e+17
 7.886319e-04 -1.649336e+00 4.196216e+17
 7.884751e-04 -2.356194e+00 4.196216e+17
 7.883232e-04 -2.277655e+00 4.196216e+17
 7.886179e-04 -1.727876e+00 4.196216e+17
 7.882973e-04 -2.042035e+00 4.196216e+17
 7.884789e-04 -1.884956e+00 4.196216e+17
 7.884101e-04 -2.120575e+00 4.196216e+17
 7.884428e-04 -2.199115e+00 4.196216e+17
 7.886030e-04 -1.806416e+00 4.196216e+17
 7.885960e-04 -1.178097e+00 4.196216e+17
 7.886053e-04 -1.335177e+00 4.196216e+17
 7.881032e-04 -9.424778e-01 4.196216e+17
 7.885911e-04 -1.256637e+00 4.196216e+17
 7.883375e-04 -8.639380e-01 4.196216e+17
 7.887286e-04 -1.413717e+00 4.196216e+17
 7.883515e-04 -1.099557e+00 4.196216e+17
 7.886526e-04 -1.492257e+00 4.196216e+17
 7.887133e-04 -1.570796e+00 4.196216e+17
 7.883978e-04 -1.021018e+00 4.196216e+17
 7.885876e-04 -3.141593e-01 4.196216e+17
 7.886019e-04 -2.356194e-01 4.196216e+17
 7.886204e-04 -1.570796e-01 4.196216e+17
 7.884100e-04 -5.497787e-01 4.196216e+17
 7.884767e-04 -7.853982e-01 4.196216e+17
 7.882345e-04 -3.926991e-01 4.196216e+17
 7.886243e-04 -7.853982e-02 4.196216e+17
 7.884205e-04 -4.712389e-01 4.196216e+17
 7.884777e-04 -6.283185e-01 4.196216e+17
 7.883447e-04 -7.068583e-01 4.196216e+17
 7.881049e-04 6.283185e-01 4.196216e+17
 7.883272e-04 4.712389e-01 4.196216e+17
 7.883384e-04 7.068583e-01 4.196216e+17
 7.887167e-04 0.000000e+00 4.196216e+17
 7.885046e-04 1.570796e-01 4.196216e+17
 7.886520e-04 7.853982e-02 4.196216e+17
 7.884990e-04 5.497787e-01 4.196216e+17
 7.885968e-04 3.926991e-01 4.196216e+17
 7.886601e-04 2.356194e-01 4.196216e+17
 7.885932e-04 3.141593e-01 4.196216e+17
 7.884756e-04 7.853982e-01 4.196216e+17
 7.884776e-04 9.424778e-01 4.196216e+17
 7.885018e-04 1.021018e+00 4.196216e+17
 7.884829e-04 1.099557e+00 4.196216e+17
 7.885629e-04 1.335177e+00 4.196216e+17
 7.885858e-04 1.256637e+00 4.196216e+17
 7.883217e-04 8.639380e-01 4.196216e+17
 7.881634e-04 1.178097e+00 4.196216e+17
 7.884707e-04 1.884956e+00 4.196216e+17
 7.885028e-04 1.963495e+00 4.196216e+17
 7.887123e-04 1.570796e+00 4.196216e+17
 7.884166e-04 2.042035e+00 4.196216e+17
 7.885036e-04 2.120575e+00 4.196216e+17
 7.887223e-04 1.649336e+00 4.196216e+17
 7.884926e-04 1.727876e+00 4.196216e+17
 7.884633e-04 2.277655e+00 4.196216e+17
 7.884807e-04 2.748894e+00 4.196216e+17
 7.884829e-04 2.670354e+00 4.196216e+17
 7.884791e-04 2.513274e+00 4.196216e+17
 7.882337e-04 2.199115e+00 4.196216e+17
 7.884763e-04 2.356194e+00 4.196216e+17
 7.885257e-04 2.434734e+00 4.196216e+17
 7.885098e-04 2.591814e+00 4.196216e+17
 7.886193e-04 2.984513e+00 4.196216e+17
 7.885856e-04 2.827433e+00 4.196216e+17
 7.885629e-04 2.905973e+00 4.196216e+17
 7.887106e-04 3.141593e+00 4.196216e+17
 7.887335e-04 3.063053e+00 4.196216e+17
